    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   316        4.60736         100.22         17.436    3.73549e+07        27.8836     1.2874e+12
   317        4.60808        100.291         17.436    3.73549e+07        27.8728     1.2735e+12
   318        4.60879        100.363         17.436    3.73549e+07        27.8619    1.25975e+12
   319         4.6095        100.434         17.436    3.73549e+07        27.8511    1.24614e+12
   320        4.61022        100.506         17.436    3.73549e+07        27.8402    1.23267e+12
   321        4.61093        100.578         17.436    3.73549e+07        27.8293    1.21934e+12
   322        4.61164        100.649         17.436    3.73549e+07        27.8185    1.20615e+12
   323        4.61235        100.721         17.436    3.73549e+07        27.8076     1.1931e+12
   324        4.61307        100.793         17.436    3.73549e+07        27.7967    1.18018e+12
   325        4.61378        100.865         17.436    3.73549e+07        27.7858     1.1674e+12
   326        4.61449        100.937         17.436    3.73549e+07        27.7749    1.15475e+12
   327        4.61521        101.009         17.436    3.73549e+07         27.764    1.14223e+12
   328        4.61592        101.081         17.436    3.73549e+07        27.7531    1.12985e+12
   329        4.61663        101.153         17.436    3.73549e+07        27.7422    1.11759e+12
   330        4.61735        101.225         17.436    3.73549e+07        27.7313    1.10546e+12
   331        4.61806        101.297         17.436    3.73549e+07        27.7204    1.09346e+12
   332        4.61877         101.37         17.436    3.73549e+07        27.7095    1.08159e+12
   333        4.61949        101.442         17.436    3.73549e+07        27.6985    1.06984e+12
   334         4.6202        101.514         17.436    3.73549e+07        27.6876    1.05821e+12
   335        4.62091        101.587         17.436    3.73549e+07        27.6767    1.04671e+12
   336        4.62163        101.659         17.436    3.73549e+07        27.6657    1.03533e+12
   337        4.62234        101.732         17.436    3.73549e+07        27.6548    1.02406e+12
   338        4.62305        101.804         17.436    3.73549e+07        27.6439    1.01292e+12
   339        4.62376        101.877         17.436    3.73549e+07        27.6329    1.00189e+12
   340        4.62448        101.949         17.436    3.73549e+07         27.622    9.90981e+11
   341        4.62519        102.022         17.436    3.73549e+07         27.611    9.80186e+11
   342         4.6259        102.095         17.436    3.73549e+07        27.6001    9.69505e+11
   343        4.62662        102.168         17.436    3.73549e+07        27.5891    9.58937e+11
   344        4.62733        102.241         17.436    3.73549e+07        27.5781    9.48481e+11
   345        4.62804        102.314         17.436    3.73549e+07        27.5672    9.38135e+11
   346        4.62876        102.387         17.436    3.73549e+07        27.5562      9.279e+11
   347        4.62947         102.46         17.436    3.73549e+07        27.5452    9.17773e+11
   348        4.63018        102.533         17.436    3.73549e+07        27.5342    9.07754e+11
   349         4.6309        102.606         17.436    3.73549e+07        27.5233    8.97841e+11
   350        4.63161        102.679         17.436    3.73549e+07        27.5123    8.88033e+11
   351        4.63232        102.752         17.436    3.73549e+07        27.5013     8.7833e+11
   352        4.63303        102.826         17.436    3.73549e+07        27.4903     8.6873e+11
   353        4.63375        102.899         17.436    3.73549e+07        27.4793    8.59233e+11
   354        4.63446        102.972         17.436    3.73549e+07        27.4683    8.49837e+11
   355        4.63517        103.046         17.436    3.73549e+07        27.4573    8.40541e+11
   356        4.63589        103.119         17.436    3.73549e+07        27.4463    8.31344e+11
   357         4.6366        103.193         17.436    3.73549e+07        27.4353    8.22246e+11
   358        4.63731        103.267         17.436    3.73549e+07        27.4243    8.13245e+11
   359        4.63803         103.34         17.436    3.73549e+07        27.4133     8.0434e+11
   360        4.63874        103.414         17.436    3.73549e+07        27.4023     7.9553e+11
   361        4.63945        103.488         17.436    3.73549e+07        27.3913    7.86815e+11
   362        4.64017        103.561         17.436    3.73549e+07        27.3802    7.78194e+11
   363        4.64088        103.635         17.436    3.73549e+07        27.3692    7.69665e+11
